id,질문,내용
번호 43,"공중위생업소(숙박업, 미용업,이용업,목욕업,세탁업,위생관리용역업) 신규신고","공중위생업소에 대한 영업신고는 ①도시계획법상 영업의 신고를 하고자 하는 장소가 도로개설예정지역 여부 및 지역구분에 적합한지 (근린생활시설, 판매시설 등) ②건축물의 용도에 적합한지 ③위법건축물등재 여부를 확인하신후, 공중위생영업의 종류별 시설 및 설비기준에 적합한 시설을 갖추셔야합니다.
●미용업 <시설 및 설비기준>
○미용업(일반, 손톱발톱, 화장분장)
- 미용기구는 소독을 한 기구와 소독을 하지 않은 기구를 구분하여 보관할 수 있는 용기를 비치
- 소독기. 자외선 살균기 등 미용기구를 소독하는 장비
- 작업장소, 응접장소, 상담실 등을 분리하기 위해 칸막이를 설치할 수 있으나, 설치된 칸막이에 출입문이 있는 경우 출입문의 3분의 1 이상을 투명하게 하여야한다. 다만 탈의실의 경우에는 출입문을 투명하게 하여서는 안된다.
○미용업(피부, 종합)
- 피부미용업무에 필요한 베드(온열장치 포함), 미용기구, 화장품, 수건, 온장고, 사물함 등을 갖추어야한다.
- 미용기구는 소독을 한 기구와 소독을 하지 않은 기구를 구분하여 보관할 수 있는 용기를 비치
- 소독기. 자외선 살균기 등 미용기구를 소독하는 장비
- 작업장소, 응접장소, 상담실 등을 분리하기 위해 칸막이를 설치할 수 있으나, 설치된 칸막이에 출입문이 있는 경우 출입문의 3분의 1 이상을 투명하게 하여야한다. 다만 탈의실의 경우에는 출입문을 투명하게 하여서는 안된다.
- 작업장소 내 베드와 베드 사이에 칸막이를 설치할 수 있으나 설치된 칸막이에 출입문이 있는경우 그 출입문의 3분의 1 이상은 투명하게 하여야 한다.
<구비서류> -미용사 면허증, 위생교육수료필증 또는 미필사유서, 임대차계약서, 신분증
●이용업 <시설 및 설비기준>
- 이용기구는 소독을 한 기구와 소독을 하지 않은 기구를 구분하여 보관할 수 있는 용기를 비치
- 소독기. 자외선 살균기 등 이용기구를 소독하는 장비
- 응접장소와 작업장소 또는 의자와 의자를 구획하는 커튼, 칸막이 그밖에 이와 유사한 장애물을 설치할수 없음
- 영업소 안에는 별실 기타 이와 유사한 시설을 설치하여서는 아니됨.
<구비서류> -신분증, 임대차계약서, 이용사 면허증, 위생교육수료필증 또는 미필사유서
●목욕업 <시설 및 설비기준>
- 탈의실,욕실, 욕조 및 샤워기, 목욕실, 발한실 설치
- 발한실 내에 발열기를 설치하는 경우에는 그 주변에 방열 및 불연소재의 안전망 설치.
- 발한실, 편의시설 및 휴식실은 실내가 잘 보이도록 하여야하고, 밀실 형태로 구획하여서는 아니됨.
- 탈의실과 목욕실은 남녀 구분하여 운용
- 목욕실, 발한실, 탈의실, 편의시설 및 휴식실은 각각 별도로 구획
- 욕조수를 순환하여 여과시키는 경우 자동유입기에 의한 염소소독장치 또는 오존장치 설치
- 목욕실, 발한실 및 탈의실 외의 시설에 무인감시카메라를 설치할 수 있으며, 무인감시카메라를 설치하는 경우 반드시 그 설치여부를 이용객이 알아볼 수 있게 안내문 게시
●세탁업 <시설 및 설비기준>
- 세탁용 약품 보관함을 설치 다만, 세탁용품을 따로 보관할 수 있는 창고 등이 있는 경우에는 그러하지 아니함.
●숙박업<시설 및 설비기준>
- 숙박업(생활) : 취사시설과 환기를 위한 창문 설치
- 숙박업(생활) : 객실별로 욕실 또는 샤워실 설치
●위생관리용역업 <시설 및 설비기준>
- 25cm 이상의 마루광택기 2대이상 비치
- 진공청소기( 집수 및 집진용 )를 2대 이상 비치
- 업무수행에 필요한 안전벨트, 안전모, 로프
- 먼지, 일산화탄소, 이산화탄소를 측정하는 측정장비를 갖추어야함. 다만, <연면적 3천제곱미터이상의 업무시설과 연면적 2천제곱미터이상의 건축물로서 2개이상의 용도에 사용 되는 건축물규모> 이하의 건축물을 청소하는 경우에는 그러하지 아니함.
※위의 요건이 모두 충족되었을 경우 임대계약서, 면허증원본(미용업, 이용업), 신분증을 지참하여 위생과로 내방 →신고서류를 작성 → 영업신고증, 면허세 교부 → 검토후 필요시 시설조사"
번호 42,"식품접객업(일반,휴게음식점)의 영업자지위승계는 어떻게 하는지요?","- 영업자지위승계란 기존 영업장을 폐업하고 신규로 신고를 하는 대신 기존 영업자에게 영업장에 대한 지위승계를 통하여 영업신고증을 양도받는 것을 의미하며 구비서류는 전영업주와 내방하는 경우 영업신고증원본, 신분증, 위생교육수료증(새로운영업주), 건강진단결과서(새로운영업주), 수수료(9,300원)을 지참하시면 되고 전영업주와 같이 내방을 못하는 경우에는 영업신고증원본, 전영업주 서명이 있는 신분증사본, 위임장, 위생교육수료증(새로운영업주), 건강진단결과서(새로운영업주), 수수료(9,300원)를 지참하시어 내방하시면 됩니다.
- 기존 영업장이 다중이용업소인 경우에 화재보험가입증명서가 추가로 필요합니다.
- 또한, 영업자지위승계시 기존 영업주가 행정처분을 받았거나 과태료 처분을 받은 적이 있다면 그 처분을 같이 승계하게 되며 체납된 과태료를 납부한후 영업자지위승계가 가능함을 알려드립니다.
☞ 사업자등록증 발급은 금천세무서(☏850-4200)에 식품접객업 영업신고증과 건물임대계약서를 지참하시어 신청하시면 됩니다."
번호 41,식품접객업(일반음식점) 영업신고는 어떻게 하는지요?,"- 일반음식점에 대한 영업신고는 대인·대물의 성격을 가진 복합물권으로 일반음식점을 하고자 하는 장소가 식품위생법뿐만 아니라 관련 법령에도 적합하여야 합니다. 우선 건물주와 임대계약을 하기전에 아래 사항에 대하여 검토를 하신후 적합하실 경우 임대계약을 하시는 것이 사후 식품접객업신고에 따른 불이익을 최소화 할수있으니 양지하시기 바랍니다.
·식당을 하고자 하는 장소에 기 위생과 관련 업종이 폐업을 하였는지 여부
·해당 건물의 위법건축물 여부 ·오수·분뇨및축산폐수처리에관한법률에 의거 해당 건물에 대한 정화조 용량적정 여부 ·다중이용업소 안전관리에 관한 특별법에 따른 안전시설 등 완비증명 해당 여부
·액화석유가스의안전및사업관리법에 따른 액화석유가스검사필증 해당 여부
- 위의 요건이 다 충족되었을 경우 위생교육을 수료하신 후(위생교육문의 일반음식점:3672-3231~6, 휴게음식점:425-6126) 교육수료증, 건강진단결과서, 임대계약서, 수수료(28,000원)를 지참하시어 위생과로 내방하여 신고서류를 작성하시면 되고 타당성 검토후 신고증이 교부됩니다.
☞ 사업자등록증 발급은 금천세무서(☏850-4200)에 식품접객업 영업신고증과 건물임대계약서를 지참하시어 신청하시면 됩니다."
번호 40,"주민등록 등,초본 발급하려는데 어떤 서류가 필요한가요?",
번호 39,인감증명서 발급하려는데 어떤 서류가 필요한가요?,"* 인감증명은 관공서에 방문을 하셔야만 발급이 가능합니다.- 구청 민원여권과나 동주민센터 방문 발급(지역관계없음)- 수수료 : 600원- 본인발급시 : 신분증만 필요* 내국인 - 주민등록증,자동차운전면허증,여권,장애인등록증* 외국인 - 외국인등록증, 외국인등록사실증명서* 국내거소신고자 - 국내거소신고증, 국내거소사실증명서
※증명서는 본인발급시에만 가능함.- 대리발급시 : 위임자 및 대리인의신분증이 모두 필요, 위임자의 도장- 미성년자 또는 한정치산자의 인감증명을 위임받을때는 위임장과 법정대리인의 동의서를 모두 작성- 재외국민이나 국내거소신고자의 증명발급을 위임하여 신청할경우에는 재외공관의 확인이 필요(재외국민의 부동산권리 이전용인 경우에는 부동산의 종류와 소재지를 기재하여 소관증명청의소재지 또는 부동산 소재지를 관할하는 세무서장의 확인을 받아야 함.)- 주민등록 말소자는 위임을 받을 수 없음."
번호 38,건강검진을 받고 싶은데 어떤 절차를 거쳐야 되는지 알고 싶어요.,"검진명
대상자
비용
문의
국가
건강검진
건강보험 직장
가입자 세대주
만40세 이상
세대원 및 피부양자
무료
건강검진센터
2627~2736~7
건강검진
희망자
6,500원
체력
측정검사
희망자(예약제)
무료
체력인증센터
2627-2758"
번호 37,치과진료에 대해 알고 싶습니다.,"우리구 보건소 치과 진료 범위는아말감 충치치료,발치,치경부 마모증치료등입니다.
일반치과와는 교육 및 예방사업이 주가 되어 치료는1차적 치료만 가능합니다.충치치료의 재료에는아말감,레진,금등이 있고,이들 재료에는 각각의 장,단점이 있습니다.보건소에서는아말감이라는 재료를 사용하여 치아의 겉껍질 우식시 제거후 충전하는 정도까지만 가능하며,
충치정도가 심한경우 실시되는 신경치료와 씌워야 하는 치료(크라운)등은 실시하고 있지 않습니다."
번호 36,기초생활보장 사업에 대하여 보다 더 자세한 사항을 알고싶을 때에는?,"보다 자세하고 상세히 알고 싶으시면 복지로 홈페이지(http:www.bokjiro.go.kr)를 이용하시거나,  우리구 복지콜센터 ( 02-2627-1004) 또는 거주지 동주민센터에서 상담을 받으시면 됩니다."
번호 35,"기초생활보장수급자에게 해산급여, 장제급여 신청방법은?","국민기초생활보장 기초생계, 의료, 주거급여 수급자가 아이를 낳았거나 사망하였을 때 해산 및 장제급여 신청서를 작성후 거주지 동주민센터에 제출하여 신청함.
해산 및 장제급여 지급액은 아래와 같습니다.
- 해산급여 : 출산시 75만원
- 장제급여 : 사망자 1가구당 75만원
※ 장제급여는 장제를 실제 치르는 자에게 지급이 원칙임. 기초교육급여 대상자는 제외."
번호 34,수급자에게 정부양곡을 시중보다 싸게 공급한다는데?,"Q. 구입 신청을 하면 누구에게나 공급합니까 ?
A. 기초생활보장 수급자 및 차상위복지대상자라면 누구나 신청 가능합니다.
신청은 매달 1일~10일 까지 관할 동사무소에서 신청할 수 있습니다.
Q. 공급 가격은?
A. 1포/20kg - 16,200원, 1포/10kg - 8,200원에 구입 가능합니다.
Q. 구입할 수 있는 수량이 정해져 있나요?
A. 1인당 10kg/월(120kg/년) 이하 제한(단, 5인 이상의 가구라도 매월 20kg 2포로 제한)하고 있습니다.
Q. 배달은 언제되고 구입대금은 언제 납부하나요?
A. 신청한 달 20일~31일까지 배송지로 배송이 되며, 구입대금은 신청시 납부하거나 생계급여에서 차감 됩니다.
※유의사항
공급되는 정부양곡은 기초생활수급자용으로 지정되어 있으므로 지정된 용도 외에 부정유출(시중유통, 판매 등)한 수급자는 양곡관리법에 따라 3년이하의 징역 또는 1천만원이하의 벌금에 처할 수 있습니다"
번호 33,부정한 방법으로 수급신청하여 급여를 받은 경우에는 어떻게 되나요?,"Q. 부정수급이란?A. 거짓으로 꾸며 속이는 등 기타 부정한 방법에 의하여 급여를 받거나 타인으로 하여금 급여를 받게 한 경우를 말함이 경우 그 급여를 받은자 또는 급여를 받게 한 자 모두를 부정수급자로 지칭하며 수급자 뿐만 아니라부양의무자, 기타 관계인(예를 들어 수급자에게 허위로 고용임금확인서를 발급해준 고용주)도 부정수급자의 범위에 해당되며 보장비용 징수대상일 뿐만 아니라 경우에 따라 형사벌의 책임도 면하기 어렵습니다.Q. 보장비용은 어떤 경우에 징수하나?A. 국민기초생활보장법에 따라 부정한 방법으로 급여를 받은 부정수급자에 대하여 지급한 급여 전부를 수급권자와 부양의무자 등으로부터 징수하며, 부양능력이 있는 부양의무자가 있음에도 수급권자의 최저생활을 보장하기 위하여 불가피하게 국가에서 선보호 조치를 한 경우 그 부양의무자 등에 대해서도 일정한 절차를 거쳐 이미 지급된 급여에 해당하는 비용의 전부 또는 일부를 징수합니다.
가장 많은 예로서 수급신청 당시에 노출되지 않을 것으로 생각하고 금융자산(예금, 보험, 증권 등)을 숨기고 급여신청을 하더라도 사후 금융기관 등에 조회를 통하여 반드시 숨긴 재산은 알게되며, 선정기준이상의 재산이 발견 되는 경우 그동안 받았던 급여의 전부 또는 일부를 본인 또는 부양의무자로부터 강제징수하고, 고발 등의 형사적인 조치가 있을 수 있는 경우입니다.
Q. 보장비용 징수 절차는?A. 선정기준 초과자에 대하여 보호중지·급여중지·급여액변경 등의 처분 → 부정수급 사항의 확인조사 및 보장비용 징수기준 부합 여부 검토 → 생활보장위원회 심의 → 보장비용 징수대상자 결정 → 통지서 및 납부고지서 등기 발송"
번호 32,기초생활보장 수급자는 어떤사람이 선정될 수 있나요,"국민기초생활보장 제도 안내
■국민기초생활보장제도란생계가 곤란한 기준중위소득50%이하의 어려운 분들에게 기준에 맞는 생계급여,의료급여,주거급여,교육급여를 지원해 기본적 생활을 국가가 보장해 주는 제도입니다.
■제 도 개 요
？지원대상자
부양의무자가 없거나 부양의무자가 있어도 부양능력이 없거나 또는 부양을 받을 수 없는 자로서 소득인정액이 기준중위소득50%이하인 자
(단,교육급여는 부양의무자 기준 적용 안함)
？급여내용:생계급여,의료급여,주거급여,교육급여
？2016년 급여종류별 소득인정액 선정기준
가구규모
1인가구
2인가구
3인가구
4인가구
5인가구
기준중위소득
1,624,831원
2,766,603원
3,579,019원
4,391,434원
5,203,849원
생계급여
(중위소득29%이하)
471,201원
802,315원
1,037,916원
1,273,516원
1,509,116원
의료급여
(중위소득40%이하)
649,932원
1,106,642원
1,431,608원
1,756,574원
2,081,540원
주거급여
(중위소득43%이하)
698,677원
1,189,640원
1,538,978원
1,888,317원
2,237,656원
교육급여
(중위소득50%이하)
812,415
1,383,302
1,789,509
2,601,925
2,601,925원
*소득인정액=소득평가액＋재산의 소득환산액
？부양의무자 기준
-부양의무자 범위:수급권자의1촌의 직계혈족 및 그 배우자
(단.사망한1촌의 직계혈족의 배우자는 제외)
-부양의무자 충족 기준
·부양의무자가 없는 경우
·부양의무자가 있어도 부양능력이 없는 경우
·부양의무자가 부양능력이 미약한 경우
■보 장 절 차
？급여신청
-신청장소:거주지 동 주민센터에 수급권자 본인,친족 및 기타 관계인이 신청하거나 사회복지전담공무원이 직접신청(동의필요)
-구비서류:사회보장급여 제공신청서,금융정보 등 제공동의서(부양의무자 포함),임대차 계약서 등
？조 사
·수급권자와 부양의무자의 소득 및 재산
·수급권자의 근로능력,취업상태,자활욕구 등
·기타 수급권자의 건강상태,가구특성 등 생활실태조사
·부양의무자 유무,부양능력 및 부양여부
？급여결정
-조사결과에 의거하여 급여실시 여부와 급여내용 결정
-신청일로부터30일이내 처리 후 결정내용을 서면으로 통지
(단,특별한 사유가 있는 경우60일이내 연장가능)
？급여실시
-수급자로 선정된 가구 또는 개인에 대하여 결정된 급여를 제공
？확인조사
-수급자 또는 부양의무자의 구성원,소득 및 재산등에 대한 변동사항 조사
-확인조사 결과에 따라 변동사항이 있는 급여변경,급여중지등 결정
？지원대상자 보장중지
-확인조사 결과 부양의무자 및 소득 재산상의 변동으로 인해 선정기준을 초과하는 경우 급여중지
-소득,재산 등의 변동사항을 미신고하는 등 일부 부정수급자에 대해서는
보장비용징수 기준에 의거하여 보장비용 징수"
번호 31,자동차세를 인터넷으로 납부 할 수 있는지?,"지방세 인터넷 납부는서울시ETAX시스템(http://etax.seoul.go.kr)에 접속하여〔조회납부〕에서 회원인 경우에는 회원 납부를 선택,비회원 또는 타인명의 세금 납부시‘전자납부번호’또는‘납세번호’를 선택하여 납세번호 입력후 금융기관 인터넷뱅킹 또는 신용카드로 납부 가능합니다.
【ETAX시스템에서 전자납부 결제 이용시간】
카드 납부:평일 및 공휴일 납부 가능(단,카드사 점검시간 제외)
은행 납부:우리은행은365일24시간(단,은행 점검시간 제외)
그 외 은행은 영업일09:00~22:00(토,공휴일 휴무)"
번호 30,"지방소득세(특별징수분)를 회사월급에서 떼어 가는데 주민세(개인균등분) 6,000원을 또 내야 하나요?","지방세법제74조(정의)규정에 따른 균등분 주민세는 지방자치단체의 관할 구역에 주소를 둔 개인 대하여 균등하게 부과하고 있습니다.균등분 주민세는 회비적 성격을 가지는 세목으로서 소득의 많고 적음에 관계없이 동일한 금액(주민세4,800원,교육세1,200원)을 부담하는 세목입니다.
지방세법제75조(납세의무자)①에서 지방자치단체에 주소를 둔 개인(납세의무를 지는 세대주와 생계를 같이하는 가족을 제외한다)이라고 규정하고 있어,매년8월1일을 과세기준일로 하여8월에 주민등록법상 세대주에게 주민세(개인균등분)이 부과됩니다.
이와 달리 급여에서 원천징수하는 소득세분 또는 특별징수분 지방소득세는 지방세법 제86조에서 소득세법에 따른 소득세 또는 법인세법에 따른 법인세의 납세의무가 있는 자는 소득세분 지방소득세를 납부토록 하고 있습니다.이는 세대주마다 동일한 세액을 부담하는 균등분과는 달리 소득세의10%를 지방소득세로 부담하게 됩니다.
소득세법에서는 소득이 있는 자는 다음해5월말까지 관할세무서에 소득내역을 신고하고 종합소득세와 지방소득세를 자진납부토록 하고 있으나,기타 소득이 없는 급여소득자의 경우에는 소득세 확정 신고 절차를 거치지 않고 급여를 지급하는 자가 급여 지급시 일정액을 소득세와 지방소득세(소득세의10%)를 원천징수하여 익월10일까지 납부토록 하고 있으며,매년12월말 기준으로 소득세 연말정산을 실시하여 소득세와 지방소득세를 확정토록 하는 원천징수제도를 운영하고 있습니다."
번호 29,"장애인으로 자동차에 대한 취득세, 등록세를 감면 받을 수 있는 대상을 알려주세요","장애인복지법에 등록한 장애등급1급 내지3급(시각의 경우4급)인 장애인 본인·배우자 또는 주민등록법에 의한 세대별 주민등록표에 기재되어 있는 장애인의 직계존·비속,장애인의 직계비속의 배우자,장애인의 형제·자매의 명의로 등록(장애인 본인 이외의 명의로 등록하는 경우는 장애인과 공동등록)하여 본인을 위하여 사용하는 자동차로서 다음 각호에 해당되는 자동차중 최초로 감면 신청하는1대에 대하여 차량취득세를 감면하고 있습니다.
1.배기량2,000cc이하인 승용자동차 또는 승차정원7인승이상10인승 이하인 승용자동차(고급에 해당 되는 자동차 제외)
2.승차정원15인 이하인 승합자동차
3.적재적량1톤 이하인 화물자동차
4.이륜자동차(배기량250cc이하)
※감면후 장애인 또는 장애인과 공동으로 등록한 자가 자동차 등록일로부터1년 이내에 사망·혼인·해외이민·운전면허취소 기타 이와 유사한 부득이한 사유없이 소유권을 이전하거나 세대를 분가하는 경우 면제된 취득세를 추징합니다.
※궁금하신 사항이 있으실 경우 금천구청 세무2과(☎2627-2451~2)로 연락주시면 성심껏 안내해 드리겠습니다."
번호 28,종업원분 주민세의 과세대상과 과세표준 산정기준은 무엇인가요?,"종업원분 주민세 과세기준은 급여지급일 기준2015년12월까지는 해당 사업소의 종업원 수가50인 초과인 경우로 종업원수라 함은 월통상 인원수를 말하는 것이며'월통상인원'이라 함은 월상시 고용하는 종업원 수에 수시 고용하는 종업원의 월 연인원을 당월의 일수로 나눈 평균인원을 합한 인원을 말하는 것으로 다음 식으로 요약 할 수 있습니다.
▶월통상인원=월상시인원+수시고용 연인원/당월의 일수
급여 지급일이2016년1월 이후의 종업원분 주민세 과세기준은 지방세법시행령제85조의2규정에 의거 납세의무 성립일이 속하는 달부터 최근1년간 해당 사업소 종업원 급여총액의 월평균 금액이135,000,000원(50명* 2,700,000원)초과 사업주로 변경되었습니다.
면세점 기준인 월평균 금액135,000,000원은 대통령령으로 정하여 변경될 수 있습니다.
※궁금하신 사항이 있으시면 세무 부서로 연락 주시면 성심껏 안내해 드리겠습니다"
번호 27,자동차세를 1년치 연세액을 신고납부하고 도중(1년경과 전)에 자동차를 매매한 경우 환불받을 수 있는지?,"자동차세를 연납한 후에 매매등의 사유로 소유권이 이전될 경우에는 양도일 이후 선납분에 대하여 양도인에게 환불처리하여 드립니다.
-별도 구비서류 없이 등록원부상 소유권이전등록을 확인하여 처리하며 다만,양도인의 동의하에 자동차세 연세액 납부승계동의서를 제출한 경우에는 이를 양수인이 납부한것으로 인정하여 환불처리되지 않습니다.
※궁금하신 사항이 있으시면 세무 부서로 연락 주시면 성심껏 안내해 드리겠습니다."
번호 26,자동차세 감면에 대해 궁금합니다.,"자동차세 감면은 장애인 및 국가유공자, 5·18민주화운동부상자,고엽제후유의증환자를 대상으로 하며장애인의 경우 장애등급 제1급부터 제3급(시각장애인의 경우 제4급),국가유공자는 상이등급1급부터7급,5·18민주화운동부상자는 신체장해등급1급부터14급,고엽제후유의증환자는 경도 장애이상의 장애등급 판정을 받은 사람이 자동차를 본인 명의로 등록하거나 또는 세대별 주민등록표에 의하여 세대를 함께 하는 것이 확인되는 배우자·직계존속·직계비속·형제자매 또는 직계비속의 배우자와 공동명의로 등록하는1대에 대해서 자동차세를100%감면하고 있습니다.
①배기량2,000cc이하인 승용자동차
②승차정원7명 이상10명 이하인 승용자동차(2000.12.31일 이전에 승용자동차로 분류된 자동차는 제외됩니다)
③자동차의 구분이 화물자동차에서2006년1월1일부터 승용자동차에 해당하게 되는 자동차(2005.12.31.이전부터 승용차로 분류된 자동차는 제외됩니다.)
④승차정원15명 이하인 승합자동차
⑤적재정량1톤 이하인 화물자동차
⑥이륜자동차
※궁금하신 사항이 있으시면 세무2과(☎2627-2352)로 연락 주시면 성심껏 안내해 드리겠습니다."
번호 25,"지방소득세(특별징수분)를 회사월급에서 떼어 가는데 주민세(개인균등분) 6,000원을 또 내야 하나요?","지방세법제74조(정의)규정에 따른 균등분 주민세는 지방자치단체의 관할 구역에 주소를 둔 개인 대하여 균등하게 부과하고 있습니다.균등분 주민세는 회비적 성격을 가지는 세목으로서 소득의 많고 적음에 관계없이 동일한 금액(주민세4,800원,교육세1,200원)을 부담하는 세목입니다.
지방세법제75조(납세의무자)①에서 지방자치단체에 주소를 둔 개인(납세의무를 지는 세대주와 생계를 같이하는 가족을 제외한다)이라고 규정하고 있어,매년8월1일을 과세기준일로 하여8월에 주민등록법상 세대주에게 주민세(개인균등분)이 부과됩니다.
이와 달리 급여에서 원천징수하는 소득세분 또는 특별징수분 지방소득세는 지방세법 제86조에서 소득세법에 따른 소득세 또는 법인세법에 따른 법인세의 납세의무가 있는 자는 소득세분 지방소득세를 납부토록 하고 있습니다.이는 세대주마다 동일한 세액을 부담하는 균등분과는 달리 소득세의10%를 지방소득세로 부담하게 됩니다.
소득세법에서는 소득이 있는 자는 다음해5월말까지 관할세무서에 소득내역을 신고하고 종합소득세와 지방소득세를 자진납부토록 하고 있으나,기타 소득이 없는 급여소득자의 경우에는 소득세 확정 신고 절차를 거치지 않고 급여를 지급하는 자가 급여 지급시 일정액을 소득세와 지방소득세(소득세의10%)를 원천징수하여 익월10일까지 납부토록 하고 있으며,매년12월말 기준으로 소득세 연말정산을 실시하여 소득세와 지방소득세를 확정토록 하는 원천징수제도를 운영하고 있습니다."
번호 24,"장애인으로 자동차에 대한 취득세, 등록세를 감면 받을 수 있는 대상을 알려주세요","장애인복지법에 등록한 장애등급1급 내지3급(시각의 경우4급)인 장애인 본인·배우자 또는 주민등록법에 의한 세대별 주민등록표에 기재되어 있는 장애인의 직계존·비속,장애인의 직계비속의 배우자,장애인의 형제·자매의 명의로 등록(장애인 본인 이외의 명의로 등록하는 경우는 장애인과 공동등록)하여 본인을 위하여 사용하는 자동차로서 다음 각호에 해당되는 자동차중 최초로 감면 신청하는1대에 대하여 차량취득세를 감면하고 있습니다.
1.배기량2,000cc이하인 승용자동차 또는 승차정원7인승이상10인승 이하인 승용자동차(고급에 해당 되는 자동차 제외)
2.승차정원15인 이하인 승합자동차
3.적재적량1톤 이하인 화물자동차
4.이륜자동차(배기량250cc이하)
※감면후 장애인 또는 장애인과 공동으로 등록한 자가 자동차 등록일로부터1년 이내에 사망·혼인·해외이민·운전면허취소 기타 이와 유사한 부득이한 사유없이 소유권을 이전하거나 세대를 분가하는 경우 면제된 취득세를 추징합니다.
※궁금하신 사항이 있으실 경우 금천구청 세무2과(☎2627-2451~2)로 연락주시면 성심껏 안내해 드리겠습니다."
번호 23,종업원분 주민세의 과세대상과 과세표준 산정기준은 무엇인가요?,"종업원분 주민세 과세기준은 급여지급일 기준2015년12월까지는 해당 사업소의 종업원 수가50인 초과인 경우로 종업원수라 함은 월통상 인원수를 말하는 것이며'월통상인원'이라 함은 월상시 고용하는 종업원 수에 수시 고용하는 종업원의 월 연인원을 당월의 일수로 나눈 평균인원을 합한 인원을 말하는 것으로 다음 식으로 요약 할 수 있습니다.
▶월통상인원=월상시인원+수시고용 연인원/당월의 일수
급여 지급일이2016년1월 이후의 종업원분 주민세 과세기준은 지방세법시행령제85조의2규정에 의거 납세의무 성립일이 속하는 달부터 최근1년간 해당 사업소 종업원 급여총액의 월평균 금액이135,000,000원(50명* 2,700,000원)초과 사업주로 변경되었습니다.
면세점 기준인 월평균 금액135,000,000원은 대통령령으로 정하여 변경될 수 있습니다.
※궁금하신 사항이 있으시면 세무 부서로 연락 주시면 성심껏 안내해 드리겠습니다"
번호 22,중소기업 육성기금을 지원받고 싶습니다.,
번호 21,담배소매인 지정신청에 대하여 알고싶습니다.,
번호 20,부동산중개수수료는 얼마나 지불해야 하나요?,여기를 클릭하시면 중개수수료를계산 할 수가 있으며기타 자세한 사항은 토지관리과(02-2627-1332~1334)로 문의하세요
번호 19,자동차 노후하여 폐차를 하고 싶습니다. 어떤 절차를 해야 하나요?,
번호 18,자동차 구입 후 정기검사는 몇 년이며 검사신청 방법은?,
번호 17,지방에서 금천구로 이사하고 전입신고를 했는데 자동차 번호 변경은 어떻게 하는지요?,
번호 16,책임보험과태료고지서가 집으로 왔는데 책임보험과태료가 뭐지요?,
번호 15,자동차 소유자가 이행하지 못한 일에 대한 불이익처분에 어떤 것이 있는지 알고 싶습니다.,
번호 14,신차를 구입하였는데 등록하는 방법과 구비서류는?,
번호 13,자동차 정기정검(사업용자동차)에 대행 알고 싶습니다.,
번호 12,토지대장 및 건축물관리대장상의 소유자 사항은 어떻게 정리되는 지요?,
번호 11,아기 예방접종에 대하여 알고 싶어요,"국가 예방접종은 국가가 권장하는 예방접종으로 국가는 '감염병의 예방 및 관리에 관한 법률'을 통해 예방접종 대상 감염병과 예방접종 실시기준 및 방법에 관한 권장사항을 정하고 있습니다.
국가 예방접종은 보건소와 의료기관에서 접종 가능합니다.
BCG(피내용), B형간염, DTaP(디프테리아/파상풍/백일해), IPV(폴리오), 수두, MMR(홍역, 유행성이하선염/풍진), 일본뇌염(사백신, 생백신), Td(파상풍/디프테리아), DTaP-IPV(디프테리아/파상풍/백일해/폴리오), Tadp(파상풍/디프테리아/백일해), Hib(b형헤모필루스인플루엔자), 폐렴구균,A형간염, HPV(인유두종바이러스)"
번호 10,자동차 노후하여 폐차를 하고 싶습니다. 어떤 절차를 해야 하나요?,
번호 9,자동차 구입 후 정기검사는 몇 년이며 검사신청 방법은?,
번호 8,내집주차장 신청 및 보조금 지원에 대하여 알고 싶습니다,
번호 7,자동차 정기정검(사업용자동차)에 대행 알고 싶습니다.,
번호 6,토지대장 및 건축물관리대장상의 소유자 사항은 어떻게 정리되는 지요?,
번호 5,아기 예방접종에 대하여 알고 싶어요,"국가 예방접종은 국가가 권장하는 예방접종으로 국가는 '감염병의 예방 및 관리에 관한 법률'을 통해 예방접종 대상 감염병과 예방접종 실시기준 및 방법에 관한 권장사항을 정하고 있습니다.
국가 예방접종은 보건소와 의료기관에서 접종 가능합니다.
BCG(피내용), B형간염, DTaP(디프테리아/파상풍/백일해), IPV(폴리오), 수두, MMR(홍역, 유행성이하선염/풍진), 일본뇌염(사백신, 생백신), Td(파상풍/디프테리아), DTaP-IPV(디프테리아/파상풍/백일해/폴리오), Tadp(파상풍/디프테리아/백일해), Hib(b형헤모필루스인플루엔자), 폐렴구균,A형간염, HPV(인유두종바이러스)"
번호 4,자동차 노후하여 폐차를 하고 싶습니다. 어떤 절차를 해야 하나요?,
번호 3,자동차 구입 후 정기검사는 몇 년이며 검사신청 방법은?,
번호 2,내집주차장 신청 및 보조금 지원에 대하여 알고 싶습니다,
번호 1,법인 소유 자동차의 경우 법인 사업장이 바뀌었는데 주소변경은 어떻게 하는지?,
